A股代码,A股简称,A股上市日期
600000,浦发银行,11/10/1999
600004,白云机场,4/28/2003
600005,武钢股份,8/3/1999
600006,东风汽车,7/27/1999
600007,中国国贸,3/12/1999
600008,首创股份,4/27/2000
600009,上海机场,2/18/1998
600010,包钢股份,3/9/2001
600011,华能国际,12/6/2001
600012,皖通高速,1/7/2003
600015,华夏银行,9/12/2003
600016,民生银行,12/19/2000
600017,日照港,10/17/2006
600018,上港集团,10/26/2006
600019,宝钢股份,12/12/2000
600020,中原高速,8/8/2003
600021,上海电力,10/29/2003
600022,山东钢铁,6/29/2004
600023,浙能电力,12/19/2013
600026,中远海能,5/23/2002
600027,华电国际,2/3/2005
600028,中国石化,8/8/2001
600029,南方航空,7/25/2003
600030,中信证券,1/6/2003
600031,三一重工,7/3/2003
600033,福建高速,2/9/2001
600035,楚天高速,3/10/2004
600036,招商银行,4/9/2002
600037,歌华有线,2/8/2001
600038,中直股份,12/18/2000
600039,四川路桥,3/25/2003
600048,保利地产,7/31/2006
600050,中国联通,10/9/2002
600051,宁波联合,4/10/1997
600052,浙江广厦,4/18/1997
600053,九鼎投资,4/18/1997
600054,黄山旅游,5/6/1997
600055,万东医疗,5/19/1997
600056,中国医药,5/15/1997
600057,象屿股份,6/4/1997
600058,五矿发展,5/28/1997
600059,古越龙山,5/16/1997
600060,海信电器,4/22/1997
600061,国投安信,5/19/1997
600062,华润双鹤,5/22/1997
600063,皖维高新,5/28/1997
600064,南京高科,5/6/1997
600066,宇通客车,5/8/1997
600067,冠城大通,5/8/1997
600068,葛洲坝,5/26/1997
600069,银鸽投资,4/30/1997
600070,浙江富润,6/4/1997
600071,凤凰光学,5/28/1997
600072,钢构工程,6/3/1997
600073,上海梅林,7/4/1997
600074,保千里,6/23/1997
600075,新疆天业,6/17/1997
600076,康欣新材,5/26/1997
600077,宋都股份,5/20/1997
600078,澄星股份,6/27/1997
600079,人福医药,6/6/1997
600080,金花股份,6/12/1997
600081,东风科技,7/3/1997
600082,海泰发展,6/20/1997
600083,博信股份,6/6/1997
600084,中葡股份,7/11/1997
600085,同仁堂,6/25/1997
600086,东方金钰,6/6/1997
600088,中视传媒,6/16/1997
600089,特变电工,6/18/1997
600090,同济堂,6/16/1997
600091,ST明科,7/4/1997
600093,禾嘉股份,6/26/1997
600094,大名城,7/3/1997
600095,哈高科,7/8/1997
600096,云天化,7/9/1997
600097,开创国际,6/19/1997
600098,广州发展,7/18/1997
600099,林海股份,7/4/1997
600100,同方股份,6/27/1997
600101,明星电力,6/27/1997
600103,青山纸业,7/3/1997
600104,上汽集团,11/25/1997
